dominio,valor,descripcion,orden,atributos
tipo_mov_tesoreria,intereses,,8,"{""actividad"": ""financiacion""}"
tipo_mov_tesoreria,prestamo_ingreso,,9,"{""actividad"": ""financiacion""}"
tipo_mov_tesoreria,prestamo_pago,,10,"{""actividad"": ""financiacion""}"
tipo_mov_tesoreria,inversion_constitucion,,11,"{""actividad"": ""inversion""}"
tipo_mov_tesoreria,inversion_rescate,,12,"{""actividad"": ""inversion""}"
tipo_mov_tesoreria,compra_bien_uso,,13,"{""actividad"": ""inversion""}"
tipo_mov_tesoreria,retiro_socios,,14,"{""actividad"": ""financiacion""}"
tipo_mov_tesoreria,aporte_socios,,15,"{""actividad"": ""financiacion""}"
tipo_mov_tesoreria,transferencia_interna,,16,"{""actividad"": ""interna""}"
tipo_mov_tesoreria,otros,,17,"{""actividad"": ""operativa""}"
estado_liquidacion,aprobado,,1,
estado_liquidacion,pendiente,,2,
estado_liquidacion,acreditado,,3,
estado_liquidacion,rechazado,,4,
estado_liquidacion,reembolsado,,5,
estado_liquidacion,contracargo,,6,
tipo_mov_stock,compra_recepcion,,1,"{""es_venta"": 0, ""es_compra"": 1, ""es_ajuste"": 0}"
tipo_mov_stock,venta_despacho,,2,"{""es_venta"": 1, ""es_compra"": 0, ""es_ajuste"": 0}"
tipo_mov_stock,devolucion_cliente,,3,"{""es_venta"": -1, ""es_compra"": 0, ""es_ajuste"": 0}"
tipo_mov_stock,devolucion_proveedor,,4,"{""es_venta"": 0, ""es_compra"": -1, ""es_ajuste"": 0}"
tipo_mov_stock,transferencia_salida,,5,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 0}"
tipo_mov_stock,transferencia_entrada,,6,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 0}"
tipo_mov_stock,ajuste_positivo,,7,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 1}"
tipo_mov_stock,ajuste_negativo,,8,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 1}"
tipo_mov_stock,merma,,9,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 1}"
tipo_mov_stock,produccion_consumo,,10,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 0}"
tipo_mov_stock,produccion_alta,,11,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 0}"
tipo_mov_stock,inventario_inicial,,12,"{""es_venta"": 0, ""es_compra"": 0, ""es_ajuste"": 0}"
motivo_ajuste,rotura,,1,
motivo_ajuste,vencimiento,,2,
motivo_ajuste,faltante,,3,
motivo_ajuste,error_carga,,4,
motivo_ajuste,conteo,,5,
motivo_ajuste,muestra,,6,
motivo_ajuste,otro,,7,
estado_oc,borrador,,1,
estado_oc,enviada,,2,
estado_oc,confirmada,,3,
estado_oc,recibida_parcial,,4,
estado_oc,recibida,,5,
estado_oc,cancelada,,6,
modalidad_envio,flota_propia,,1,"{""es_controlable"": true}"
modalidad_envio,transportista_tercero,,2,"{""es_controlable"": true}"
modalidad_envio,fulfillment_tercero,,3,"{""es_controlable"": false}"
modalidad_envio,logistica_del_canal,,4,"{""es_controlable"": true}"
modalidad_envio,operador_logistico,,5,"{""es_controlable"": false}"
modalidad_envio,retiro_en_tienda,,6,"{""es_controlable"": true}"
estado_envio,pendiente,,1,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,en_preparacion,,2,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,listo_para_despachar,,3,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,despachado,,4,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,en_transito,,5,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,en_distribucion,,6,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,no_entregado_reintento,,7,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,listo_para_retirar,,8,"{""es_final"": false, ""es_exitoso"": null}"
estado_envio,entregado,,9,"{""es_final"": true, ""es_exitoso"": true}"
estado_envio,devuelto_origen,,10,"{""es_final"": true, ""es_exitoso"": false}"
estado_envio,cancelado,,11,"{""es_final"": true, ""es_exitoso"": false}"
estado_envio,extraviado_danado,,12,"{""es_final"": true, ""es_exitoso"": false}"
motivo_no_entrega,ausente,,1,
motivo_no_entrega,direccion_incorrecta,,2,
motivo_no_entrega,rechazado,,3,
motivo_no_entrega,zona_inaccesible,,4,
motivo_no_entrega,extraviado,,5,
motivo_no_entrega,danado,,6,
motivo_no_entrega,otro,,7,
dispositivo,desktop,,1,
dispositivo,mobile,,2,
dispositivo,tablet,,3,
dispositivo,otro,,4,
estado_surtido,activo,,1,
estado_surtido,a_discontinuar,,2,
estado_surtido,discontinuado,,3,
estado_surtido,estacional_fuera_temporada,,4,
mecanica_promocion,descuento_pct,,1,
mecanica_promocion,precio_especial,,2,
mecanica_promocion,nxm,,3,
mecanica_promocion,segunda_unidad,,4,
mecanica_promocion,combo,,5,
mecanica_promocion,cupon,,6,
mecanica_promocion,envio_gratis,,7,
mecanica_promocion,cuotas_sin_interes,,8,
mecanica_promocion,regalo,,9,
mecanica_promocion,otro,,10,
objetivo_promocion,liquidar_stock,,1,
objetivo_promocion,trafico,,2,
objetivo_promocion,lanzamiento,,3,
objetivo_promocion,rentabilidad,,4,
objetivo_promocion,fidelizacion,,5,
objetivo_promocion,otro,,6,
estado_promocion,planificada,,1,
estado_promocion,activa,,2,
estado_promocion,finalizada,,3,
estado_promocion,cancelada,,4,
prioridad,critica,,1,
prioridad,alta,,2,
prioridad,media,,3,
prioridad,baja,,4,
estado_actividad,nueva,,1,
estado_actividad,en_curso,,2,
estado_actividad,resuelta,,3,
estado_actividad,descartada,,4,
estado_actividad,vencida,,5,
estado_actividad,cerrada_automatica,,6,
metodo_precio,margen_sobre_precio,,1,
metodo_precio,markup_sobre_costo,,2,
base_costo_precio,reposicion,,1,
base_costo_precio,promedio,,2,
rol_responsable,repositor,,1,
rol_responsable,encargado_sucursal,,2,
rol_responsable,comprador,,3,
rol_responsable,comercial,,4,
rol_responsable,gerente_operaciones,,5,
rol_responsable,gerente_general,,6,
rol_responsable,finanzas,,7,
rol_responsable,marketing,,8,
rol_responsable,logistica,,9,
